airline_sentiment,airline,text,hour_of_day,am_or_pm,day_of_week,weekend,tweet_length
neutral,Virgin America,@VirginAmerica What @dhepburn said.,11,AM,Tuesday,Weekday,Short
positive,Virgin America,@VirginAmerica plus you've added commercials to the experience... tacky.,11,AM,Tuesday,Weekday,Short
neutral,Virgin America,@VirginAmerica I didn't today... Must mean I need to take another trip!,11,AM,Tuesday,Weekday,Short
negative,Virgin America,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",11,AM,Tuesday,Weekday,Long
negative,Virgin America,@VirginAmerica and it's a really big bad thing about it,11,AM,Tuesday,Weekday,Short
negative,Virgin America,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",11,AM,Tuesday,Weekday,Long
positive,Virgin America,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",11,AM,Tuesday,Weekday,Short
neutral,Virgin America,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",11,AM,Tuesday,Weekday,Long
positive,Virgin America,"@virginamerica Well, I didn't…but NOW I DO! :-D",11,AM,Tuesday,Weekday,Short
positive,Virgin America,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",10,AM,Tuesday,Weekday,Short
neutral,Virgin America,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,10,AM,Tuesday,Weekday,Short
positive,Virgin America,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,10,AM,Tuesday,Weekday,Short
positive,Virgin America,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,10,AM,Tuesday,Weekday,Long
positive,Virgin America,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,10,AM,Tuesday,Weekday,Long
positive,Virgin America,@VirginAmerica Thanks!,10,AM,Tuesday,Weekday,Short
negative,Virgin America,@VirginAmerica SFO-PDX schedule is still MIA.,10,AM,Tuesday,Weekday,Short
positive,Virgin America,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,9,AM,Tuesday,Weekday,Long
negative,Virgin America,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,9,AM,Tuesday,Weekday,Long
positive,Virgin America,I ❤️ flying @VirginAmerica. ☺️👍,9,AM,Tuesday,Weekday,Short
positive,Virgin America,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,9,AM,Tuesday,Weekday,Long
negative,Virgin America,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,8,AM,Tuesday,Weekday,Long
positive,Virgin America,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,8,AM,Tuesday,Weekday,Short
positive,Virgin America,@VirginAmerica I love the hipster innovation. You are a feel good brand.,8,AM,Tuesday,Weekday,Short
neutral,Virgin America,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,8,AM,Tuesday,Weekday,Short
